his response was smug , arrogant , and condescending , totally consistent with his deportment on display all evening .	-1,-1 SERVICE#GENERAL 0 3,4	-1,-1 SERVICE#GENERAL 0 5,6	-1,-1 SERVICE#GENERAL 0 8,9	
if you go here , do it on his off - night .	-1,-1 SERVICE#GENERAL 0 -1,-1			
best meal in a long time !	1,2 FOOD#QUALITY 2 0,1			
mussles and calamari were superb saturday evening .	0,1 FOOD#QUALITY 2 4,5	2,3 FOOD#QUALITY 2 4,5		
my father had the flank steak which was very good , and my mother had the swordfish .	4,6 FOOD#QUALITY 2 9,10			
the four seasons restaurant is a great experience .	0,4 RESTAURANT#GENERAL 2 6,7			
the food is great and the environment is even better .	1,2 FOOD#QUALITY 2 3,4	6,7 AMBIENCE#GENERAL 2 9,10		
everyone must come here at least once .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
highly recommend it !	-1,-1 RESTAURANT#GENERAL 2 1,2			
taking hot dogs to the next level	1,3 FOOD#QUALITY 2 -1,-1			
at first glance this place seems a bit pricey for a hot dog joint , but at bark you do n ' t just get your average hot dog .	11,13 FOOD#QUALITY 2 -1,-1	17,18 RESTAURANT#PRICES 0 -1,-1		
here the hot dog is elevated to the level of a real entree with numerous variations available .	2,4 FOOD#QUALITY 2 5,6	2,4 FOOD#STYLE_OPTIONS 2 14,15		
great atmosphere	1,2 AMBIENCE#GENERAL 2 0,1			
i highly recommend the fish tacos , everything else was ok .	4,6 FOOD#QUALITY 2 2,3	-1,-1 FOOD#QUALITY 1 10,11		
cool atmosphere , the fire place in the back really ads to it but needs a bit more heat throughout on a cold night .	1,2 AMBIENCE#GENERAL 2 0,1	4,6 AMBIENCE#GENERAL 2 -1,-1	-1,-1 AMBIENCE#GENERAL 0 -1,-1	
poor service and management	1,2 SERVICE#GENERAL 0 0,1	3,4 SERVICE#GENERAL 0 0,1		
had an awful experience at casa la femme on a saturday dinner .	5,8 RESTAURANT#GENERAL 0 2,3			
appetizers took nearly an hour .	-1,-1 SERVICE#GENERAL 0 -1,-1			
never got an explanation as to what was going on .	-1,-1 SERVICE#GENERAL 0 -1,-1			
the manager was rude and handled the situation extremely poorly .	1,2 SERVICE#GENERAL 0 3,4	1,2 SERVICE#GENERAL 0 9,10		
on the way out , we heard of other guests complaining about similar issues .	-1,-1 SERVICE#GENERAL 0 10,11			
can ’ t believe how an expensive nyc restaurant can be so disrespectful to its clients .	8,9 RESTAURANT#PRICES 0 6,7	-1,-1 SERVICE#GENERAL 0 12,13		
what a hassle !	-1,-1 RESTAURANT#GENERAL 0 2,3			
the food is very good , but not outstanding .	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#QUALITY 1 7,9		
there is no way it justifies the accolades it receives , the attitude of the staff or the wait for a table .	15,16 SERVICE#GENERAL 0 -1,-1	18,19 SERVICE#GENERAL 0 -1,-1	-1,-1 FOOD#QUALITY 0 -1,-1	
on our last visit , they skipped over our name on the list , leaving us waiting an extra hour for a table .	-1,-1 SERVICE#GENERAL 0 -1,-1			
mistakes happen , but they are usually accompanied by an apology , perhaps even a glass of wine . . . but not the grunt that we received from the al di la staff .	33,34 SERVICE#GENERAL 0 -1,-1			
expensive	-1,-1 RESTAURANT#PRICES 0 0,1			
the pasta was well cooked , did n ' t have enough sauce though or flavor .	1,2 FOOD#QUALITY 0 3,5			
so rude ! ! !	-1,-1 SERVICE#GENERAL 0 1,2			
i was one of the people that went for this horrible experience .	-1,-1 RESTAURANT#GENERAL 0 10,11			
the hostess was rude and i got a distinct feeling that they did not want to serve us .	1,2 SERVICE#GENERAL 0 3,4	-1,-1 SERVICE#GENERAL 0 -1,-1		
the only thing that my friend left out is that when we sat down at the bar the bartender disappeared .	18,19 SERVICE#GENERAL 0 19,20			
i asked for a menu and the same waitress looked at my like i was insane .	8,9 SERVICE#GENERAL 0 -1,-1			
i was shocked that my friends wanted to stay after the waitress said , ` ` can i help you ' ' and ` ` how many are in your party . ' '	11,12 SERVICE#GENERAL 0 -1,-1			
the three of us standing in front of her should have been an indication of how many of us there were .	-1,-1 SERVICE#GENERAL 0 -1,-1			
we did n ' t look like the other patrons in there so unfortunately i think that may have been part of the problem .	-1,-1 RESTAURANT#MISCELLANEOUS 0 -1,-1			
bad staff	1,2 SERVICE#GENERAL 0 0,1			
i generally like this place .	4,5 RESTAURANT#GENERAL 2 2,3			
the design of the space is good .	4,5 AMBIENCE#GENERAL 2 6,7			
but the service is horrid !	2,3 SERVICE#GENERAL 0 4,5			
i was there for brunch recently , and we were tag teamed by a waitress and a waiter .	14,15 SERVICE#GENERAL 0 11,12	17,18 SERVICE#GENERAL 0 11,12		
the waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand .	1,2 SERVICE#GENERAL 0 -1,-1			
i ca n ' t believe that it was , but please put the bag down before delivering food !	-1,-1 SERVICE#GENERAL 0 -1,-1			
the waitress came to check in on us every few minutes , and began to clear the plates while half of us were still eating ( a big pet peeve of mine that happens almost everywhere , so i try to ignore it ) .	1,2 SERVICE#GENERAL 0 -1,-1			
i could n ' t ignore the fact that she reach over the plate of one of my friends , who was in mid bite , to clear the table .	-1,-1 SERVICE#GENERAL 0 -1,-1			
she then put the check down without asking if we were done , and came to check on the bill every two minutes , even though we were one of three occupied tables .	-1,-1 SERVICE#GENERAL 0 -1,-1			
i wish i could like this place more , and i wish someone would retrain the staff .	6,7 RESTAURANT#GENERAL 0 -1,-1	16,17 SERVICE#GENERAL 0 -1,-1		
ca n ' t wait wait for my next visit .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
their sake list was extensive , but we were looking for purple haze , which was n ' t listed but made for us upon request !	1,3 DRINKS#STYLE_OPTIONS 2 4,5	-1,-1 SERVICE#GENERAL 2 -1,-1		
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !	1,4 FOOD#QUALITY 2 6,7	9,12 FOOD#QUALITY 2 13,14		
we love th pink pony .	3,5 RESTAURANT#GENERAL 2 1,2			
this place has got to be the best japanese restaurant in the new york area .	1,2 RESTAURANT#GENERAL 2 7,8			
i tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .	9,11 FOOD#QUALITY 2 14,15			
the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .	1,4 FOOD#QUALITY 2 5,6	1,4 FOOD#STYLE_OPTIONS 2 5,6	1,4 FOOD#PRICES 2 5,6	
the food here is rather good , but only if you like to wait for it .	1,2 FOOD#QUALITY 2 5,6	-1,-1 SERVICE#GENERAL 0 -1,-1		
also , specify if you like your food spicy - its rather bland if you do n ' t .	7,8 FOOD#QUALITY 0 12,13			
the ambience is pretty and nice for conversation , so a casual lunch here would probably be best .	1,2 AMBIENCE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 5,6	-1,-1 RESTAURANT#MISCELLANEOUS 2 17,18	
it was horrible .	-1,-1 RESTAURANT#GENERAL 0 2,3			
have been dozens of times and never failed to enjoy the experience .	-1,-1 RESTAURANT#GENERAL 2 9,10			
make sure you try this place as often as you can .	5,6 RESTAURANT#GENERAL 2 7,8			
i had a huge group for my birthday and we were well taken care of .	-1,-1 SERVICE#GENERAL 2 11,12			
get the tuna of gari .	2,5 FOOD#QUALITY 2 -1,-1			
make sure you have the spicy scallop roll . . .	5,8 FOOD#QUALITY 2 -1,-1			
raga ' s is a romantic , cozy restaurant .	0,3 AMBIENCE#GENERAL 2 5,6	0,3 AMBIENCE#GENERAL 2 7,8		
i had a great time at jekyll and hyde !	6,9 RESTAURANT#GENERAL 2 3,4			
i am bringing my whole family back next time .	-1,-1 RESTAURANT#MISCELLANEOUS 2 -1,-1			
fine dining restaurant quality .	1,2 FOOD#QUALITY 2 0,1			
we will return many times for this oasis in mid - town .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the food options rule .	1,2 FOOD#STYLE_OPTIONS 2 -1,-1			
my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary , and to our surprise it was fantastic .	13,17 RESTAURANT#GENERAL 2 8,9	13,17 RESTAURANT#GENERAL 2 27,28		
please take my advice , go and try this place .	9,10 RESTAURANT#GENERAL 2 -1,-1			
they were served warm and had a soft fluffy interior .	-1,-1 FOOD#QUALITY 2 3,4	-1,-1 FOOD#QUALITY 2 7,8		
but they do .	-1,-1 SERVICE#GENERAL 2 -1,-1			
fresh restaurant was amazing . . . . . . . . food was delicious and of course fresh .	1,2 RESTAURANT#GENERAL 2 0,1	1,2 RESTAURANT#GENERAL 2 3,4	12,13 FOOD#QUALITY 2 14,15	12,13 FOOD#QUALITY 2 18,19
hats off to the chef .	4,5 FOOD#QUALITY 2 0,2			
this is some really good , inexpensive sushi .	7,8 FOOD#QUALITY 2 4,5	7,8 FOOD#PRICES 2 6,7		
this place is always very crowded and popular .	1,2 RESTAURANT#MISCELLANEOUS 2 5,6	1,2 RESTAURANT#MISCELLANEOUS 2 7,8		
and evaluated on those terms pastis is simply wonderful .	5,6 RESTAURANT#GENERAL 2 8,9			
i ' m still mad that i had to pay for lousy food .	12,13 FOOD#QUALITY 0 11,12			
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .	1,3 FOOD#QUALITY 0 5,6	8,9 FOOD#QUALITY 0 10,11		
big thumbs up !	-1,-1 RESTAURANT#GENERAL 2 1,3			
the pizza and wine were excellent - the service too - - but what really made this place was the backyard dining area .	1,2 FOOD#QUALITY 2 5,6	3,4 DRINKS#QUALITY 2 5,6	8,9 SERVICE#GENERAL 2 5,6	20,23 AMBIENCE#GENERAL 2 -1,-1
it is one the nicest outdoor restaurants i have ever seen in ny - - i am from italy and this place rivals the ones in my country .	5,7 AMBIENCE#GENERAL 2 4,5			
it is simply amazing .	-1,-1 FOOD#QUALITY 2 3,4			
beautiful experience .	-1,-1 RESTAURANT#GENERAL 2 0,1			
the menu is very limited - i think we counted 4 or 5 entrees .	1,2 FOOD#STYLE_OPTIONS 0 4,5			
we will go back every time we are in the city .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the characters really make for an enjoyable experience .	1,2 AMBIENCE#GENERAL 2 6,7			
however , i think jeckll and hydes t is one of those places that is fun to do once .	4,7 RESTAURANT#GENERAL 2 15,16			
we had a good time .	-1,-1 RESTAURANT#GENERAL 2 3,4			
a little overpriced but worth it once you take a bite .	-1,-1 FOOD#PRICES 0 2,3	-1,-1 FOOD#QUALITY 2 4,5		
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan .	13,14 FOOD#QUALITY 2 -1,-1	16,17 AMBIENCE#GENERAL 2 -1,-1		
check out the secret back room .	4,6 AMBIENCE#GENERAL 2 3,4			
thank you emilio .	2,3 RESTAURANT#GENERAL 2 -1,-1			
the food was authentic .	1,2 FOOD#QUALITY 2 3,4			
fantastic !	-1,-1 RESTAURANT#GENERAL 2 0,1			
but the staff was so horrible to us .	2,3 SERVICE#GENERAL 0 5,6			
decor is nice though service can be spotty .	0,1 AMBIENCE#GENERAL 2 2,3	4,5 SERVICE#GENERAL 0 7,8		
just awsome .	-1,-1 FOOD#QUALITY 2 1,2			
i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was .	3,5 FOOD#QUALITY 0 11,12			
with the theater 2 blocks away we had a delicious meal in a beautiful room .	10,11 FOOD#QUALITY 2 9,10	14,15 AMBIENCE#GENERAL 2 13,14	-1,-1 LOCATION#GENERAL 2 -1,-1	
the service was attentive .	1,2 SERVICE#GENERAL 2 3,4			
patroon features a nice cigar bar and has great staff .	4,6 AMBIENCE#GENERAL 2 3,4	9,10 SERVICE#GENERAL 2 8,9		
lloovve this place .	2,3 RESTAURANT#GENERAL 2 0,1			
the menu is limited but almost all of the dishes are excellent .	1,2 FOOD#STYLE_OPTIONS 0 3,4	9,10 FOOD#QUALITY 2 11,12		
wine list is extensive without being over - priced .	0,2 DRINKS#STYLE_OPTIONS 2 3,4	0,2 DRINKS#PRICES 2 4,9		
the food was very good , a great deal , and the place its self was great .	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#PRICES 2 6,7	12,13 AMBIENCE#GENERAL 2 16,17	
the wait staff is very freindly , they make it feel like you ' re eating in a freindly little european town .	1,3 SERVICE#GENERAL 2 5,6			
the whole set up is truly unprofessional and i wish cafe noir would get some good staff , because despite the current one this is a great place .	16,17 SERVICE#GENERAL 0 6,17	10,12 RESTAURANT#GENERAL 2 26,27		
you should pass on the calamari .	5,6 FOOD#QUALITY 0 -1,-1			
when asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not mcdonald ' s , every place makes things differently	-1,-1 SERVICE#GENERAL 0 -1,-1			
i would highly recommend this place !	5,6 RESTAURANT#GENERAL 2 3,4			
fresh ingredients and everything is made to order .	1,2 FOOD#QUALITY 2 0,1	-1,-1 FOOD#QUALITY 2 -1,-1		
friendly staff that actually lets you enjoy your meal and the company you ' re with .	1,2 SERVICE#GENERAL 2 0,1			
i will definitely be going back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
a great choice at any cost and a great deal .	-1,-1 RESTAURANT#GENERAL 2 8,9	-1,-1 RESTAURANT#PRICES 2 1,2		
thalia is a beautiful restaurant with beautiful people serving you , but the food does n ' t quite match up .	7,8 SERVICE#GENERAL 2 6,7	13,14 FOOD#QUALITY 0 14,21	0,1 AMBIENCE#GENERAL 2 3,4	
i ordered the smoked salmon and roe appetizer and it was off flavor .	3,8 FOOD#QUALITY 0 11,13			
the food is good , especially their more basic dishes , and the drinks are delicious .	1,2 FOOD#QUALITY 2 3,4	8,10 FOOD#QUALITY 2 3,4	13,14 DRINKS#QUALITY 2 15,16	
the big complaint : no toasting available .	-1,-1 SERVICE#GENERAL 0 2,3			
i ' ve been many time and have never been disappointed .	-1,-1 RESTAURANT#GENERAL 2 8,11			
the turkey burgers are scary !	1,3 FOOD#QUALITY 0 4,5			
for authentic thai food , look no further than toons .	2,4 FOOD#QUALITY 2 1,2			
try the pad thai , or sample anything on the appetizer menu . . . they ' re all delicious .	2,4 FOOD#QUALITY 2 19,20	2,4 FOOD#QUALITY 2 19,20		
service was good and food is wonderful .	0,1 SERVICE#GENERAL 2 2,3	4,5 FOOD#QUALITY 2 6,7		
it is definitely a good spot for snacks and chat .	5,6 RESTAURANT#GENERAL 2 4,5			
do not get the go go hamburgers , no matter what the reviews say .	4,7 FOOD#QUALITY 0 -1,-1			
steamed fresh so brought hot hot hot to your table .	-1,-1 FOOD#QUALITY 2 1,2			
small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .	8,9 FOOD#QUALITY 0 10,12	15,16 FOOD#QUALITY 2 19,20	1,5 FOOD#GENERAL 0 0,1	
cute and decorative .	-1,-1 AMBIENCE#GENERAL 2 0,1	-1,-1 AMBIENCE#GENERAL 2 2,3		
excellent spot for holiday get togethers with co - workers or friends that you have n ' t seen in a while .	1,2 RESTAURANT#MISCELLANEOUS 2 0,1			
what a great place !	3,4 RESTAURANT#GENERAL 2 2,3			
not the typical nyc gimmick theme restaurant .	6,7 AMBIENCE#GENERAL 2 0,3			
service was very prompt but slightly rushed .	0,1 SERVICE#GENERAL 2 3,4	0,1 SERVICE#GENERAL 2 6,7		
i really liked this place .	4,5 RESTAURANT#GENERAL 2 2,3			
everything i had was good , and i ' m a eater .	-1,-1 FOOD#QUALITY 2 4,5			
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) .	4,6 FOOD#QUALITY 2 2,3	11,16 FOOD#QUALITY 2 2,3		
i recently tried suan and i thought that it was great .	3,4 RESTAURANT#GENERAL 2 10,11			
have been several times and it never dissapoints .	-1,-1 RESTAURANT#GENERAL 2 6,8			
this place is a great bargain .	1,2 RESTAURANT#PRICES 2 4,6			
people are always friendly .	0,1 SERVICE#GENERAL 2 3,4			
the best pad thai i ' ve ever had .	2,4 FOOD#QUALITY 2 1,2			
would n ' t recomend it for dinner !	-1,-1 RESTAURANT#GENERAL 0 1,5			
ask for usha , the nicest bartender in manhattan .	2,3 SERVICE#GENERAL 2 5,6			
the food ' s as good as ever .	1,2 FOOD#QUALITY 2 5,6			
best drumsticks over rice and sour spicy soup in town !	1,4 FOOD#QUALITY 2 0,1	5,8 FOOD#QUALITY 2 0,1		
for those that go once and do n ' t enjoy it , all i can say is that they just do n ' t get it .	-1,-1 RESTAURANT#MISCELLANEOUS 2 -1,-1			
not worth it .	-1,-1 FOOD#PRICES 0 0,2			
this dish is my favorite and i always get it when i go there and never get tired of it .	1,2 FOOD#QUALITY 2 4,5			
big wong is a great place to eat and fill your stomach .	0,2 RESTAURANT#GENERAL 2 4,5			
the food is okay and the prices here are mediocre .	1,2 FOOD#QUALITY 1 3,4	-1,-1 RESTAURANT#PRICES 1 9,10		
me and my girls will definitely go back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the food is great .	1,2 FOOD#QUALITY 2 3,4			
la rosa waltzes in , and i think they are doing it the best .	0,2 FOOD#QUALITY 2 13,14			
interesting selection , good wines , service fine , fun decor .	4,5 DRINKS#QUALITY 2 3,4	6,7 SERVICE#GENERAL 2 7,8	10,11 AMBIENCE#GENERAL 2 9,10	1,2 FOOD#STYLE_OPTIONS 2 0,1
the food here was mediocre at best .	1,2 FOOD#QUALITY 0 4,5			
the cypriot restaurant has a lot going for it .	1,3 RESTAURANT#GENERAL 2 -1,-1			
will comeback for sure , wish they have it here in la . .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
the space kind of feels like an alice in wonderland setting , without it trying to be that .	1,2 AMBIENCE#GENERAL 0 -1,-1			
